plant,ring,treatment,rep,bulkdensity,DA_perC,DA_isoC,fum_perC,fum_isoC,DA_permassloss
AMDU,1,elevated,2,1701998.865,0.118963284,-23.17375056,0.230331549,-27.8238011,0.153061224
AMDU,1,elevated,1,1701998.865,0.122431018,-22.84677939,0.231852225,-27.80303857,0.173469388
AMDU,1,elevated,3,1701998.865,0.235221004,-23.49973091,0.370834161,-25.00306369,0.142857143
AMDU,2,elevated,8,1701998.865,0.15455979,-23.86237166,0.252196246,-29.09229255,0.138613861
AMDU,2,elevated,1,1701998.865,0.129761862,-23.88020645,0.23554859,-26.97056017,0.142857143
AMDU,2,elevated,3,1701998.865,0.156451512,-24.41921347,0.267553601,-28.47436024,0.141414141
AMDU,3,elevated,1,1701998.865,0.064873729,-21.94414079,0.144256013,-24.72425263,0.138613861
AMDU,3,elevated,4,1701998.865,0.112799899,-21.84010451,0.178383319,-28.67803072,0.14
AMDU,3,elevated,3,1701998.865,0.106561467,-23.45415311,0.2387651,-26.9784697,0.161616162
AMDU,4,ambient,1,1701998.865,0.200239542,-23.35606176,0.271794932,-29.73006768,0.142857143
AMDU,4,ambient,2,1701998.865,0.131807401,-23.35209847,0.258365467,-28.3172186,0.145631068
AMDU,4,ambient,3,1701998.865,0.153159454,-22.01349832,0.262824565,-27.34975618,0.145631068
AMDU,5,ambient,2,1701998.865,0.158074722,-23.88516056,0.279530222,-29.20799192,0.229166667
AMDU,5,ambient,3,1701998.865,0.090042979,-22.33947866,0.211370324,-28.93466413,0.17
AMDU,5,ambient,4,1701998.865,0.117693529,-23.58692322,0.262824565,-27.34975618,0.176470588
AMDU,6,ambient,1,1701998.865,0.113571961,-22.18391965,0.253027663,-30.34849641,0.184466019
AMDU,6,ambient,2,1701998.865,0.133221703,-22.15617664,0.223322135,-29.52064746,0.173469388
AMDU,6,ambient,3,1701998.865,0.112320116,-22.05214036,0.246890872,-27.24553766,0.17
LYPA,1,elevated,1,1701998.865,0.171292811,-23.41947435,0.379663444,-24.03117975,0.137254902
LYPA,1,elevated,2,1701998.865,0.207493177,-25.60225461,0.298858414,-26.76095753,0.147058824
LYPA,1,elevated,3,1701998.865,0.248340657,-24.83040449,0.401543544,-26.92508035,0.131313131
LYPA,2,elevated,3,1701998.865,0.260503665,-24.77888176,0.201850391,-24.34261764,0.131313131
LYPA,2,elevated,2,1701998.865,0.242707166,-24.98497268,0.424835318,-26.75996883,0.12371134
