"","treatment","plant","response","SE","df","lower.CL","upper.CL"
"1","ambient","AMDU",14.0847188588154,1.05136971163252,64.9159901164815,11.9849370368367,16.1845006807941
"2","elevated","AMDU",13.3173941193275,1.05136971163253,64.915990116485,11.2176122973488,15.4171759413063
"3","ambient","INSP",10.3331336741186,1.05136971163253,64.9159901164859,8.23335185213989,12.4329154960974
"4","elevated","INSP",10.0089542132858,1.31989341872136,64.9159901164853,7.37288035942048,12.6450280671512
"5","ambient","LATR",16.972057848697,1.05136971163253,64.9159901164859,14.8722760267183,19.0718396706758
"6","elevated","LATR",13.3354297418464,1.05136971163253,64.9159901164853,11.2356479198676,15.4352115638251
"7","ambient","LYAN",16.801100078667,1.05136971163253,64.9159901164856,14.7013182566883,18.9008819006458
"8","elevated","LYAN",13.3440123820273,1.05136971163253,64.9159901164853,11.2442305600486,15.4437942040061
"9","ambient","LYPA",12.4800013536873,1.05136971163253,64.9159901164859,10.3802195317086,14.5797831756661
"10","elevated","LYPA",16.3166416862015,1.05136971163253,64.9159901164859,14.2168598642228,18.4164235081802
"11","ambient","PLRI",12.4177192984479,1.05136971163253,64.9159901164859,10.3179374764691,14.5175011204266
"12","elevated","PLRI",13.9906423205307,1.11749888424624,69.1755339156612,11.7613939621735,16.2198906788878
