"","method","treatment","plant","response","SE","df","lower.CL","upper.CL"
"1","DA","ambient","AMDU",223.279254466513,24.2523176048971,92.8956399456646,179.958219417002,277.028888353249
"2","fum","ambient","AMDU",427.729049008147,46.4594024651845,92.8956399456278,344.740303958592,530.695533027634
"3","DA","elevated","AMDU",215.55456461762,23.413271308086,92.8956399456289,173.732287527017,267.44464709973
"4","fum","elevated","AMDU",394.564973646487,42.8571614479178,92.8956399456225,318.010781034686,489.547926400872
"5","DA","ambient","INSP",194.669237758173,21.1447328292755,92.8956399456213,156.89916864838,241.531631147616
"6","fum","ambient","INSP",304.823668616569,33.1095714308171,92.8956399456213,245.68124240411,378.203350160645
"7","DA","elevated","INSP",205.109051171451,22.2786925034047,92.8956399456207,165.313431036474,254.484603027632
"8","fum","elevated","INSP",309.971657496241,37.9323685061436,121.96846509021,243.283965032667,394.939421667456
"9","DA","ambient","LATR",582.504702051912,63.2709432601005,92.8956399456219,469.486111612826,722.730064893611
"10","fum","ambient","LATR",766.557035880581,83.2624810614983,92.8956399456219,617.828286771417,951.089002947229
"11","DA","elevated","LATR",428.107150864001,46.5004714230541,92.8956399456213,345.045045825009,531.164654697989
"12","fum","elevated","LATR",615.478104667354,66.8524736385251,92.8956399456213,496.061956453282,763.64109844935
"13","DA","ambient","LYAN",407.612012110157,44.2743146956757,92.8956399456231,328.526410067027,505.735756168257
"14","fum","ambient","LYAN",693.362693820859,75.3122017811632,92.8956399456237,558.835240149425,860.274711834513
"15","DA","elevated","LYAN",257.321399708536,27.9499334910391,92.8956399456213,207.395447553253,319.265941124183
"16","fum","elevated","LYAN",437.923051835453,47.5666624962313,92.8956399456207,352.956448364474,543.343520758806
"17","DA","ambient","LYPA",389.175336697786,42.2717457210185,92.8956399456243,313.666850959725,482.860851347286
"18","fum","ambient","LYPA",575.957184361552,62.5597599532156,92.8956399456243,464.208954861413,714.606374443428
"19","DA","elevated","LYPA",339.354830336068,36.8603036844172,92.8956399456219,273.512607177739,421.04713951114
"20","fum","elevated","LYPA",595.920767908375,64.7281798087292,92.8956399456213,480.299168691859,739.375757388286
"21","DA","ambient","PLRI",233.692901286517,25.3834350958935,92.8956399456219,188.351392100436,289.949394600645
"22","fum","ambient","PLRI",387.25110962822,42.0627385468118,92.8956399456219,312.115965822544,480.473408379087
"23","DA","elevated","PLRI",209.85462862558,22.7941512812978,92.8956399456213,169.138263176796,260.372575243648
"24","fum","elevated","PLRI",407.726009453851,45.7277836695113,101.683673330204,326.40264359878,509.311128587264
